run,axis,slice,class,ap40,macro_ap40,num_valid_gt,true_positives,false_positives,ignored_detections
ANCHORED,depth,far_gt_40m,Cyclist,3.3482142857142847,5.194992485529104,2,2,1208,288
ANCHORED,depth,far_gt_40m,Pedestrian,7.041770685343924,5.194992485529104,9,7,2054,423
ANCHORED,depth,mid_20_40m,Cyclist,87.95285577195807,72.8741797930894,26,26,1208,264
ANCHORED,depth,mid_20_40m,Pedestrian,57.795503814220716,72.8741797930894,84,79,2054,351
ANCHORED,depth,near_0_20m,Cyclist,88.50450605392942,90.00380500457224,27,27,1208,263
ANCHORED,depth,near_0_20m,Pedestrian,91.50310395521507,90.00380500457224,112,111,2054,319
ANCHORED,height,large_gt_80,Cyclist,99.20000000000002,95.08119803814839,21,21,1208,269
ANCHORED,height,large_gt_80,Pedestrian,90.96239607629676,95.08119803814839,93,92,2054,338
ANCHORED,height,medium_40_80,Cyclist,81.70302391678241,76.62333893351686,28,28,1208,262
ANCHORED,height,medium_40_80,Pedestrian,71.5436539502513,76.62333893351686,83,81,2054,349
ANCHORED,height,small_25_40,Cyclist,35.14626818469323,27.521889091133403,6,6,1208,284
ANCHORED,height,small_25_40,Pedestrian,19.89750999757358,27.521889091133403,29,24,2054,406
ANCHORED,occlusion,occlusion_0,Cyclist,90.92036198115854,88.97793495723394,45,45,1208,245
ANCHORED,occlusion,occlusion_0,Pedestrian,87.03550793330935,88.97793495723394,139,135,2054,295
ANCHORED,occlusion,occlusion_1,Cyclist,66.25348939889531,64.37081899932511,10,10,1208,280
ANCHORED,occlusion,occlusion_1,Pedestrian,62.488148599754915,64.37081899932511,66,63,2053,368
ANCHORED,occlusion,occlusion_2,Cyclist,0.0,0.0,0,0,1208,290
ANCHORED,occlusion,occlusion_2,Pedestrian,0.0,0.0,0,0,2054,430
ANCHORED,truncation,truncation_000_015,Cyclist,88.76749713747219,85.93664438860573,54,54,1208,236
ANCHORED,truncation,truncation_000_015,Pedestrian,83.10579163973927,85.93664438860573,205,197,2054,233
ANCHORED,truncation,truncation_015_030,Cyclist,100.0,50.0,1,1,1208,289
ANCHORED,truncation,truncation_015_030,Pedestrian,0.0,50.0,0,0,2054,430
ANCHORED,truncation,truncation_030_050,Cyclist,0.0,0.0,0,0,1208,290
ANCHORED,truncation,truncation_030_050,Pedestrian,0.0,0.0,0,0,2054,430
PLAIN,depth,far_gt_40m,Cyclist,20.000000000000007,18.021937263443554,2,2,1058,193
PLAIN,depth,far_gt_40m,Pedestrian,16.043874526887098,18.021937263443554,9,7,2142,376
PLAIN,depth,mid_20_40m,Cyclist,82.98972289625014,69.87765410219824,26,26,1058,169
PLAIN,depth,mid_20_40m,Pedestrian,56.76558530814633,69.87765410219824,84,77,2142,306
PLAIN,depth,near_0_20m,Cyclist,93.76376633986929,92.32551536997077,27,27,1058,168
PLAIN,depth,near_0_20m,Pedestrian,90.88726440007225,92.32551536997077,112,111,2142,272
PLAIN,height,large_gt_80,Cyclist,98.92045454545453,94.77357415623365,21,21,1058,174
PLAIN,height,large_gt_80,Pedestrian,90.62669376701277,94.77357415623365,93,92,2142,291
PLAIN,height,medium_40_80,Cyclist,84.47564919435595,75.45497080237305,28,28,1058,167
PLAIN,height,medium_40_80,Pedestrian,66.43429241039017,75.45497080237305,83,80,2142,303
PLAIN,height,small_25_40,Cyclist,45.48380221653877,36.54181289719685,6,6,1058,189
PLAIN,height,small_25_40,Pedestrian,27.59982357785493,36.54181289719685,29,23,2142,360
PLAIN,occlusion,occlusion_0,Cyclist,91.91718206600406,88.99815832530581,45,45,1058,150
PLAIN,occlusion,occlusion_0,Pedestrian,86.07913458460754,88.99815832530581,139,134,2141,250
PLAIN,occlusion,occlusion_1,Cyclist,70.07332559039877,65.66641580686792,10,10,1058,185
PLAIN,occlusion,occlusion_1,Pedestrian,61.25950602333707,65.66641580686792,66,62,2142,321
PLAIN,occlusion,occlusion_2,Cyclist,0.0,0.0,0,0,1058,195
PLAIN,occlusion,occlusion_2,Pedestrian,0.0,0.0,0,0,2142,383
PLAIN,truncation,truncation_000_015,Cyclist,90.07779636916537,85.81843462668526,54,54,1058,141
PLAIN,truncation,truncation_000_015,Pedestrian,81.55907288420515,85.81843462668526,205,195,2142,188
PLAIN,truncation,truncation_015_030,Cyclist,100.0,50.0,1,1,1058,194
PLAIN,truncation,truncation_015_030,Pedestrian,0.0,50.0,0,0,2142,383
PLAIN,truncation,truncation_030_050,Cyclist,0.0,0.0,0,0,1058,195
PLAIN,truncation,truncation_030_050,Pedestrian,0.0,0.0,0,0,2142,383
