epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1166,2.52435,2.31743,3.20375,0.57242,0.47832,0.47769,0.22577,1.72236,1.34092,2.3823,0.00331738,0.00331738,0.0701435
2,54.7542,1.5972,1.34663,1.94156,0.78337,0.59457,0.70163,0.38924,1.39679,1.57895,1.82354,0.00643124,0.00643124,0.0399241
3,82.8878,1.42816,1.23649,1.65283,0.83338,0.64622,0.74401,0.43835,1.26539,1.47233,1.6403,0.0093251,0.0093251,0.00948459
4,110.541,1.33037,1.10289,1.51613,0.68997,0.65545,0.72517,0.42935,1.22191,1.17358,1.55685,0.00901,0.00901,0.00901
5,137.98,1.22558,0.98589,1.43061,0.85138,0.65927,0.78512,0.47799,1.14382,0.90688,1.45494,0.00868,0.00868,0.00868
6,165.593,1.16756,0.88735,1.37997,0.83687,0.72061,0.806,0.50254,1.09638,0.80897,1.40655,0.00835,0.00835,0.00835
7,193.321,1.12514,0.82879,1.33386,0.82942,0.74654,0.81623,0.51725,1.0462,0.76733,1.37024,0.00802,0.00802,0.00802
8,220.945,1.07849,0.77768,1.29927,0.85526,0.7428,0.83524,0.52497,1.0545,0.73301,1.36397,0.00769,0.00769,0.00769
9,248.271,1.0471,0.7437,1.27694,0.86965,0.73201,0.84091,0.54463,1.00721,0.72092,1.33391,0.00736,0.00736,0.00736
10,275.777,1.02003,0.71171,1.25472,0.86357,0.76818,0.84424,0.55359,0.98374,0.6624,1.31623,0.00703,0.00703,0.00703
11,303.438,0.99252,0.68071,1.2307,0.84211,0.77993,0.8505,0.5689,0.93777,0.65695,1.27028,0.0067,0.0067,0.0067
12,331.236,0.96514,0.6558,1.2087,0.86444,0.77404,0.86941,0.57697,0.9407,0.61333,1.27102,0.00637,0.00637,0.00637
13,358.781,0.93733,0.6303,1.201,0.85012,0.78993,0.87165,0.57688,0.92881,0.6121,1.26664,0.00604,0.00604,0.00604
14,386.101,0.92988,0.62431,1.18645,0.90927,0.78383,0.87926,0.60074,0.89676,0.58068,1.23851,0.00571,0.00571,0.00571
15,413.784,0.90638,0.60301,1.17186,0.89035,0.80658,0.88326,0.59762,0.88299,0.57506,1.21988,0.00538,0.00538,0.00538
16,441.283,0.89343,0.58926,1.16142,0.88757,0.79951,0.88784,0.59993,0.88244,0.56457,1.22606,0.00505,0.00505,0.00505
17,469.064,0.86729,0.5666,1.14315,0.87249,0.81573,0.8791,0.60704,0.86177,0.54094,1.20801,0.00472,0.00472,0.00472
18,496.862,0.85727,0.55832,1.13698,0.88376,0.80671,0.88908,0.6137,0.85288,0.53339,1.20625,0.00439,0.00439,0.00439
19,524.805,0.83572,0.5422,1.12281,0.89501,0.83938,0.90332,0.63231,0.83627,0.53111,1.19373,0.00406,0.00406,0.00406
20,552.194,0.8118,0.52508,1.10794,0.88707,0.85813,0.91328,0.639,0.81463,0.52903,1.17606,0.00373,0.00373,0.00373
21,580.804,0.79431,0.51309,1.11412,0.90388,0.82001,0.89011,0.62631,0.83853,0.51972,1.19208,0.0034,0.0034,0.0034
22,608.573,0.77985,0.49481,1.09901,0.91409,0.84066,0.90819,0.64863,0.82059,0.50506,1.18333,0.00307,0.00307,0.00307
23,637.245,0.76333,0.48743,1.09005,0.8694,0.87091,0.90768,0.65143,0.81403,0.51154,1.17163,0.00274,0.00274,0.00274
24,665.763,0.7473,0.47684,1.0822,0.91544,0.83967,0.91896,0.65343,0.79478,0.48753,1.16162,0.00241,0.00241,0.00241
25,694.153,0.72927,0.46211,1.0689,0.91287,0.83378,0.91199,0.64652,0.80452,0.48641,1.16677,0.00208,0.00208,0.00208
26,721.986,0.70673,0.44821,1.04568,0.92529,0.84747,0.91738,0.66653,0.76951,0.47587,1.14185,0.00175,0.00175,0.00175
27,750.156,0.69855,0.44217,1.04144,0.91715,0.85544,0.91986,0.66971,0.75928,0.46453,1.13742,0.00142,0.00142,0.00142
28,778.685,0.68401,0.42874,1.03094,0.89423,0.88664,0.92739,0.67053,0.75937,0.46126,1.1352,0.00109,0.00109,0.00109
29,807.416,0.66396,0.42185,1.01717,0.93791,0.86247,0.92981,0.68112,0.74523,0.44696,1.12867,0.00076,0.00076,0.00076
30,835.513,0.64801,0.40792,1.01066,0.94164,0.86546,0.93555,0.68886,0.73454,0.4441,1.1201,0.00043,0.00043,0.00043
