epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/factor_loss,train/counterfactual_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/factor_loss,val/counterfactual_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3978,2.53824,2.29721,3.19976,0,0,0.48015,0.49652,0.44339,0.21247,1.72356,1.34948,2.40674,0,0,0.00331738,0.00331738,0.0701435
2,95.2409,1.58466,1.33468,1.93704,0,0,0.72502,0.60913,0.67756,0.36093,1.45746,1.24337,1.86961,0,0,0.00643124,0.00643124,0.0399241
3,139.273,1.42727,1.23299,1.65569,0,0,0.85527,0.61314,0.72085,0.41822,1.26695,1.22989,1.61786,0,0,0.0093251,0.0093251,0.00948459
4,184.427,1.34687,1.11385,1.53515,0,0,0.80744,0.63751,0.7521,0.46369,1.19734,1.02435,1.5135,0,0,0.00901,0.00901,0.00901
5,230.295,1.2351,1.01094,1.44169,0,0,0.86454,0.66957,0.79708,0.49635,1.142,0.92604,1.45733,0,0,0.00868,0.00868,0.00868
6,275.005,1.26522,0.90323,1.38912,0.00135,0,0.81358,0.75011,0.8094,0.49476,1.1086,0.81309,1.43217,0,0,0.00835,0.00835,0.00835
7,319.548,1.24481,0.83833,1.34289,0.00243,0,0.80106,0.70678,0.79403,0.4933,1.10337,0.81985,1.41308,0,0,0.00802,0.00802,0.00802
8,366.35,1.23167,0.79587,1.31012,0.00333,0,0.83347,0.74085,0.83575,0.53864,1.03483,0.75807,1.36585,0,0,0.00769,0.00769,0.00769
9,411.3,1.2423,0.75931,1.28404,0.004,0,0.85707,0.75846,0.83713,0.53828,1.0126,0.7287,1.34181,0,0,0.00736,0.00736,0.00736
10,456.226,1.25986,0.72282,1.26296,0.00468,0,0.86562,0.71066,0.82052,0.52433,0.99774,0.67229,1.32436,0,0,0.00703,0.00703,0.00703
11,502.061,1.27236,0.69326,1.23949,0.00506,0,0.83752,0.79865,0.86025,0.57361,0.95408,0.66271,1.2905,0,0,0.0067,0.0067,0.0067
12,548.907,1.28199,0.66579,1.21563,0.00562,0,0.85636,0.76087,0.8525,0.55505,0.96851,0.6502,1.29339,0,0,0.00637,0.00637,0.00637
13,597.27,1.29189,0.64143,1.20789,0.00588,0,0.85743,0.8012,0.87312,0.57189,0.93059,0.60261,1.267,0,0,0.00604,0.00604,0.00604
14,642.254,1.32566,0.62972,1.19296,0.00641,0,0.87786,0.80593,0.87808,0.58187,0.92906,0.60716,1.26815,0,0,0.00571,0.00571,0.00571
15,687.607,1.34278,0.61377,1.18182,0.00691,0,0.87809,0.81386,0.87298,0.60333,0.89299,0.56815,1.23567,0,0,0.00538,0.00538,0.00538
16,734.491,1.32,0.59874,1.16887,0.00703,0,0.89163,0.83916,0.88493,0.61341,0.87719,0.5619,1.21937,0,0,0.00505,0.00505,0.00505
17,779.115,1.28892,0.57089,1.1466,0.00665,0,0.8695,0.82525,0.88857,0.60265,0.86581,0.54432,1.21772,0,0,0.00472,0.00472,0.00472
18,824.124,1.26877,0.56566,1.14159,0.00676,0,0.89887,0.80539,0.88716,0.6138,0.85387,0.53525,1.20438,0,0,0.00439,0.00439,0.00439
19,867.343,1.25022,0.54949,1.12875,0.00654,0,0.89154,0.83506,0.90136,0.62919,0.83376,0.52319,1.19095,0,0,0.00406,0.00406,0.00406
20,913.193,1.21929,0.52899,1.11365,0.00637,0,0.94352,0.81541,0.90906,0.63366,0.82029,0.51873,1.18664,0,0,0.00373,0.00373,0.00373
21,958.893,1.1906,0.52286,1.12181,0.00635,0,0.90716,0.81519,0.90419,0.63163,0.84976,0.52987,1.20574,0,0,0.0034,0.0034,0.0034
22,1003,1.17921,0.50642,1.1049,0.00659,0,0.89043,0.83992,0.90546,0.62739,0.84534,0.51982,1.20589,0,0,0.00307,0.00307,0.00307
23,1047.28,1.16688,0.49364,1.09716,0.0063,0,0.90208,0.81821,0.89959,0.63107,0.81713,0.50892,1.18047,0,0,0.00274,0.00274,0.00274
24,1092.64,1.14568,0.48463,1.09044,0.00625,0,0.91786,0.83047,0.91634,0.64779,0.81142,0.49495,1.18064,0,0,0.00241,0.00241,0.00241
25,1136.17,1.11942,0.46869,1.07613,0.00611,0,0.91387,0.84262,0.91456,0.64648,0.80405,0.49231,1.17128,0,0,0.00208,0.00208,0.00208
26,1180.79,1.0933,0.4578,1.05707,0.00612,0,0.92691,0.83288,0.91555,0.65129,0.78809,0.483,1.15453,0,0,0.00175,0.00175,0.00175
27,1226.88,1.08077,0.44774,1.04912,0.00604,0,0.91475,0.8463,0.92024,0.66487,0.77133,0.46937,1.14938,0,0,0.00142,0.00142,0.00142
28,1272.62,1.06472,0.43812,1.03865,0.00623,0,0.92734,0.82725,0.91964,0.66833,0.76162,0.46196,1.14351,0,0,0.00109,0.00109,0.00109
29,1317.94,1.03873,0.42899,1.02642,0.00598,0,0.92796,0.85399,0.92164,0.66911,0.75758,0.45797,1.14192,0,0,0.00076,0.00076,0.00076
30,1361.61,1.02511,0.41937,1.02272,0.00587,0,0.92462,0.85357,0.92269,0.6719,0.7492,0.45392,1.12891,0,0,0.00043,0.00043,0.00043
